date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:48	34599/34599	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:19%20GMT	https://demo.zytheme.com/equita/blog-single-sidebar.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/blog-single-sidebar.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:48	25550/25550	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:19%20GMT	https://demo.zytheme.com/equita/case-studies-grid.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/case-studies-grid.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:48	28309/28309	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:20%20GMT	https://demo.zytheme.com/equita/case-studies-standard.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/case-studies-standard.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:49	41643/41643	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:20%20GMT	https://demo.zytheme.com/equita/case-study-single.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/case-study-single.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:49	31981/31981	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:30%20GMT	https://demo.zytheme.com/equita/request-quote.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/request-quote.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:50	25000/25000	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:33%20GMT	https://demo.zytheme.com/equita/track-shipment.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/track-shipment.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:50	25957/25957	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:22%20GMT	https://demo.zytheme.com/equita/find-location.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/find-location.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:50	29499/29499	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:21%20GMT	https://demo.zytheme.com/equita/faqs.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/faqs.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:51	22557/22557	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:21%20GMT	https://demo.zytheme.com/equita/contact.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/contact.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:53	388478/388478	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/sliders/1.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/sliders/1.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:55	936/936	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/signature/1.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/signature/1.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:58	421365/421365	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/about/2.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/about/2.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:58	95706/95706	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2002:46:15%20GMT	https://demo.zytheme.com/equita/assets/images/background/pattern-red.png	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/background/pattern-red.png	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:58	45846/45846	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/counters/1.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/counters/1.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:00	34722/34722	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/services/2.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/services/2.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:00	43792/43792	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/services/1.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/services/1.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:00	32053/32053	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/services/3.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/services/3.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
12:06:02	141902/141902	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2002:46:16%20GMT	https://demo.zytheme.com/equita/assets/images/work/grid/1.jpg	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/assets/images/work/grid/1.jpg	(from https://demo.zytheme.com/equita/home-modern.html)
